title,number,year,auther,experiment,NPs_type,Method,Crop,  NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,5,ClassA,shoot fresh weight,Biomass,3,19,1.327905619,3,20.46666667,1.039230485,0.074358567,0.002487619
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,10,ClassA,shoot fresh weight,Biomass,3,19,1.327905619,3,21.5,0.981495458,0.123613956,0.002322863
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,15,ClassA,shoot fresh weight,Biomass,3,19,1.327905619,3,21,1.212435565,0.100083459,0.002739304
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,25,ClassB,shoot fresh weight,Biomass,3,19,1.327905619,3,23.93333333,1.154700538,0.230833208,0.002404103
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,50,ClassC,shoot fresh weight,Biomass,3,19,1.327905619,3,22.53333333,1.039230485,0.170556715,0.002337202
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,5,ClassA,shoot dry weight,Biomass,3,4.259493671,0.274058672,3,4.291139241,0.295983366,0.007401958,0.002965779
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,10,ClassA,shoot dry weight,Biomass,3,4.259493671,0.274058672,3,4.613924051,0.285021019,0.079928402,0.00265192
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,15,ClassA,shoot dry weight,Biomass,3,4.259493671,0.274058672,3,4.708860759,0.241171631,0.100295705,0.002254286
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,25,ClassB,shoot dry weight,Biomass,3,4.259493671,0.274058672,3,5.291139241,0.241171631,0.216883284,0.002072428
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,50,ClassC,shoot dry weight,Biomass,3,4.259493671,0.274058672,3,4.873417722,0.252133978,0.134645185,0.002272132
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,thousands grams,Yield,3,29.29,0.82,3,25.91,1.82,-0.122617166,0.001905957
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,thousands grams,Yield,3,25.96,0.25,3,26.28,0.48,0.012251302,0.000142115
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,plant height,Growth,3,79.3,3.91,3,81.55,4.45,0.0279782,0.001802921
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,plant height,Growth,3,102,3.14,3,105.63,1.18,0.034969609,0.000357489
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,root dry weight,Biomass,3,10.49875289,1.137873905,3,11.46225844,0.068914871,0.087803286,0.003927589
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,root dry weight,Biomass,3,12.93244235,2.090417742,3,16.14846964,2.412020472,0.222086221,0.016145972
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,shoot dry weight,Biomass,3,30.97062152,3.966841542,3,37.56866772,3.105355753,0.193131335,0.00774596
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20,ClassA,200,ClassD,shoot dry weight,Biomass,3,39.43855936,6.310884272,3,38.80413184,5.676456752,-0.01621727,0.015668353
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,10,ClassA,hundreds grams,Yield,6,193.8888889,45,6,222.4074074,40.12345679,0.137225611,0.014402099
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,50,ClassC,hundreds grams,Yield,6,193.8888889,45,6,247.0987654,23.91975309,0.242502859,0.010539543
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,100,ClassD,hundreds grams,Yield,6,193.8888889,45,6,222.0216049,20.44753086,0.135489439,0.010391403
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,200,ClassD,hundreds grams,Yield,6,193.8888889,45,6,164.9228395,24.30555556,-0.161807532,0.012597673
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,10,ClassA,grains yield,Yield,6,3.864814815,0.622222222,6,3.764814815,0.677777778,-0.026215093,0.009721758
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,50,ClassC,grains yield,Yield,6,3.864814815,0.622222222,6,5.387037037,1.044444444,0.332081751,0.010584964
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,100,ClassD,grains yield,Yield,6,3.864814815,0.622222222,6,3.62037037,0.177777778,-0.065337435,0.004721868
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40,ClassB,200,ClassD,grains yield,Yield,6,3.864814815,0.622222222,6,2.82037037,0.377777778,-0.315045554,0.007310249
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,48,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22,ClassA,7,ClassA,grain yield/plant,Yield,3,15.5,0.917986928,3,25.5,1.004589468,0.497838428,0.001686538
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,48,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22,ClassA,7,ClassA,shoot length,Growth,3,84.3,2.424871131,3,94.3,3.810511777,0.112099325,0.000820084
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,48,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22,ClassA,7,ClassA,grain yield/plant,Yield,3,25.7,0.45033321,3,33.8,0.779422863,0.273969811,0.0002796
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,48,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22,ClassA,7,ClassA,plant height,Growth,3,82.8,0.73,3,87.8,0.44,0.058633439,3.43E-05
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8,ClassA,50,ClassC,hundreds grams,Yield,3,2.227483165,0.154540194,3,2.645070497,0.223590067,0.171825395,0.003986296
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8,ClassA,50,ClassC,grain yield/plant,Yield,3,26.71662125,2.452316076,3,35.51771117,1.076294278,0.284745588,0.003114553
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8,ClassA,50,ClassC,root fresh weight,Biomass,3,3.508928571,0.744642857,3,4.339285714,0.380357143,0.212399012,0.017572651
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8,ClassA,50,ClassC,root dry weight,Biomass,3,0.561068702,0.117938931,3,0.698234733,0.10999788,0.218711978,0.023001232
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8,ClassA,50,ClassC,shoot fresh weight,Biomass,3,4.28125,0.669642857,3,5.833928571,0.251785714,0.309445605,0.008775897
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8,ClassA,50,ClassC,shoot dry weight,Biomass,3,0.975572519,0.171755725,3,1.220610687,0.097328244,0.224082078,0.012451292
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,grain yield/plant,Yield,3,7.829787234,0.226950355,3,10.78014184,0.170212766,0.319770387,0.000363156
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,grain yield/plant,Yield,3,7.829787234,0.226950355,3,13.91489362,0.836879433,0.575024414,0.001485768
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,plant height,Growth,3,45.2367688,0.584958217,3,57.32590529,1.169916435,0.236842396,0.000194568
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,plant height,Growth,3,45.2367688,0.584958217,3,64.24791086,0.877437326,0.350838982,0.000117909
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,chlorophyll,Photosynthetic Pigment,3,1.919696,0.095541401,3,2.361862934,0.025477707,0.207283846,0.000864439
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,chlorophyll,Photosynthetic Pigment,3,1.919696,0.095541401,3,2.651153169,0.055201699,0.322827863,0.000970167
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,chl A,Photosynthetic Pigment,3,1.866640947,0.093339307,3,2.302224379,0.023334827,0.209735246,0.000867708
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,chl A,Photosynthetic Pigment,3,1.866640947,0.093339307,3,2.577056783,0.062226205,0.322507435,0.00102781
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,chl B,Photosynthetic Pigment,3,0.053055077,0.001871773,3,0.059638554,0.000516351,0.116971681,0.000439875
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,chl B,Photosynthetic Pigment,3,0.053055077,0.001871773,3,0.074096386,0.003420826,0.334036197,0.00112536
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,root dry weight,Biomass,3,2.641975309,0.092592593,3,3.259259259,0.043209877,0.209973088,0.000468012
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,root dry weight,Biomass,3,2.641975309,0.092592593,3,3.820987654,0.111111111,0.368982077,0.00069129
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,15,ClassA,shoot dry weight,Biomass,3,12.7016129,0.846774194,3,16.93548387,0.362903226,0.287682073,0.001634543
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100,ClassC,25,ClassB,shoot dry weight,Biomass,3,12.7016129,0.846774194,3,20.24193548,1.129032258,0.466027481,0.002518502
Zinc oxide nanoparticles coated urea enhances nitrogen efficiency and zinc bioavailability in wheat in alkaline calcareous soils,51,2023,"S. Amin, T",Pot,Zn,Soil,Wheat,25,ClassA,2.8,ClassA,hundreds grams,Yield,3,1.43,0.034641016,3,1.81,0.034641016,0.235652401,0.000317705
Zinc oxide nanoparticles coated urea enhances nitrogen efficiency and zinc bioavailability in wheat in alkaline calcareous soils,51,2023,"S. Amin, T",Pot,Zn,Soil,Wheat,25,ClassA,5.7,ClassA,hundreds grams,Yield,3,1.43,0.034641016,3,1.71,0.034641016,0.178818926,0.000332403
Zinc oxide nanoparticles coated urea enhances nitrogen efficiency and zinc bioavailability in wheat in alkaline calcareous soils,51,2023,"S. Amin, T",Pot,Zn,Soil,Wheat,25,ClassA,2.8,ClassA,plant height,Growth,3,78.4,1.039230485,3,81,0.692820323,0.032625227,8.30E-05
Zinc oxide nanoparticles coated urea enhances nitrogen efficiency and zinc bioavailability in wheat in alkaline calcareous soils,51,2023,"S. Amin, T",Pot,Zn,Soil,Wheat,25,ClassA,5.7,ClassA,plant height,Growth,3,78.4,1.039230485,3,79.2,2.25166605,0.010152371,0.000327993
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,hundreds grams,Yield,3,3.31,0.0012,3,3.8,0.0029,0.138052877,2.38E-07
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,shoot fresh weight,Biomass,3,11.27050886,0.280298219,3,15.36987032,0.420447329,0.310219642,0.000455611
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,shoot dry weight,Biomass,3,1.75788804,0.204384118,3,1.933074427,0.262779581,0.094998592,0.010665769
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,root length,Growth,3,22.30024379,0.504536795,3,23.77180944,0.462492062,0.063902791,0.000296798
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,shoot length,Growth,3,77.22755013,0.697471665,3,87.0793374,0.871839582,0.120063367,6.06E-05
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,chl A,Photosynthetic Pigment,3,3.051782075,0.018936264,3,3.638806258,0.022379221,0.17592997,2.54E-05
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30,ClassA,150,ClassD,chl B,Photosynthetic Pigment,3,2.499187462,0.017214785,3,2.8331543,0.010328871,0.125425021,2.02E-05
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE ",54,2018,N. Kheyri,Field,Si,Foliar,Rice,30,ClassA,50,ClassC,grains yield,Yield,3,3.503,0.3503,3,4.031,0.4301,0.14039474,0.007128161
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE ",54,2018,N. Kheyri,Field,Si,Foliar,Rice,30,ClassA,50,ClassC,thousands grams,Yield,3,25.33,2.533,3,25.67,2.567,0.013333531,0.006666667
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE ",54,2018,N. Kheyri,Field,Si,Foliar,Rice,30,ClassA,50,ClassC,plant height,Growth,3,135.2,13.52,3,138.9,13.89,0.026999086,0.006666667
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE ",54,2018,N. Kheyri,Field,Zn,Foliar,Rice,30,ClassA,50,ClassC,grains yield,Yield,3,3.503,0.3503,3,4.133,0.4133,0.165383791,0.006666667
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE ",54,2018,N. Kheyri,Field,Zn,Foliar,Rice,30,ClassA,50,ClassC,thousands grams,Yield,3,25.33,2.533,3,25.73,2.573,0.015668162,0.006666667
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE ",54,2018,N. Kheyri,Field,Zn,Foliar,Rice,30,ClassA,50,ClassC,plant height,Growth,3,135.2,13.52,3,140.1,14.01,0.03560129,0.006666667
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice  ",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Ti,Foliar,Rice,20,ClassA,100,ClassD,grains yield,Yield,3,2.97,0.297,3,3.48,0.348,0.158470341,0.006666667
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice  ",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Ti,Foliar,Rice,20,ClassA,100,ClassD,thousands grams,Yield,3,19.4,1.94,3,19.7,1.97,0.01534557,0.006666667
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice  ",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Ti,Foliar,Rice,20,ClassA,100,ClassD,plant height,Growth,3,113.5,11.35,3,117.5,11.75,0.034635497,0.006666667
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice  ",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Co,Foliar,Rice,20,ClassA,100,ClassD,grains yield,Yield,3,2.97,0.297,3,3.72,0.372,0.225161715,0.006666667
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice  ",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Co,Foliar,Rice,20,ClassA,100,ClassD,thousands grams,Yield,3,19.4,1.94,3,20.5,2.05,0.05515182,0.006666667
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice  ",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Co,Foliar,Rice,20,ClassA,100,ClassD,plant height,Growth,3,113.5,11.35,3,117,11.7,0.030371098,0.006666667
Biochar and Selenium Nanoparticles Induce Water Transporter Genes for Sustaining Carbon Assimilation and Grain Production in Salt-Stressed Wheat,56,2023,Soliman,Pot,Se,Foliar,Wheat,80,ClassC,30,ClassB,grain yield/plant,Yield,3,6.266519825,0.168775,3,9.779735683,1.2893,0.445091309,0.006035178
Biochar and Selenium Nanoparticles Induce Water Transporter Genes for Sustaining Carbon Assimilation and Grain Production in Salt-Stressed Wheat,56,2023,Soliman,Pot,Se,Foliar,Wheat,80,ClassC,30,ClassB,plant height,Growth,3,54.41558442,3.2641,3,25.45454545,3.1834,-0.759756261,0.006412899
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99,ClassC,500,ClassE,chl A,Photosynthetic Pigment,3,3.81981982,0.702702703,3,9.297297297,0.945945946,0.889520491,0.014731331
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99,ClassC,500,ClassE,chl B,Photosynthetic Pigment,3,2.153153153,0.252252252,3,4.288288288,0.36036036,0.688954302,0.006928966
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99,ClassC,500,ClassE,chlorophyll,Photosynthetic Pigment,3,6,0.963963964,3,13.58558559,1.288288288,0.817249878,0.011601373
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99,ClassC,500,ClassE,root dry weight,Biomass,3,5.761589404,0.662251656,3,10.79470199,1.059602649,0.627842082,0.007615691
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99,ClassC,500,ClassE,shoot dry weight,Biomass,3,11.49006623,0.695364238,3,13.87417219,1.456953642,0.18854614,0.004896674
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99,ClassC,500,ClassE,thousands grams,Yield,4,25.33,0.2,4,30.33,3.64,0.180147858,0.003616377
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,chl A,Photosynthetic Pigment,3,3.488372093,0.148837209,3,3.981395349,0.153488372,0.13219717,0.001102218
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,chl B,Photosynthetic Pigment,3,2.352173913,0.156696,3,2.817391304,0.11235,0.180471417,0.002009365
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,plant height,Growth,3,110.4878049,7.317073171,3,117.804878,7.073170732,0.064124528,0.002663581
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,thousands grams,Yield,3,36.875,4.114583333,3,37.29166667,3.90625,0.011236073,0.007807598
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,grain yield/plant,Yield,3,8,1.122807018,3,8.298245614,1.070175439,0.036602579,0.012110032
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,chl A,Photosynthetic Pigment,3,3.460465116,0.148837209,3,3.576744186,0.144186047,0.033049935,0.00115833
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,chl B,Photosynthetic Pigment,3,2.526086957,0.3,3,3.404347826,0.313043478,0.298381939,0.007519887
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,plant height,Growth,3,97.07317073,7.195121951,3,98.90243902,7.195121951,0.018668868,0.00359546
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,thousands grams,Yield,3,23.17708333,4.21875,3,24.27083333,4.0625,0.046111352,0.020382969
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,grain yield/plant,Yield,3,11.24561404,1.105263158,3,11.8245614,1.122807018,0.050200653,0.006225425
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions ",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30,ClassA,400,ClassE,chl A,Photosynthetic Pigment,3,3.48372093,0.144186047,3,3.613953488,0.148837209,0.036701367,0.001136378
